id,at,actor,action,tbl,row_key,changes
255,2026-09-15T22:23:25.638987+00:00,Emma,insert,measurements,2026-09-07 / plant 6,"{""lai"":null,""note"":null,""spad"":null,""leaves"":0,""obs_date"":""2026-09-07"",""plant_id"":6,""height_cm"":null,""updated_at"":""2026-09-15T22:23:25.46+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
256,2026-09-15T22:23:26.445336+00:00,Emma,update,measurements,2026-09-07 / plant 6,"{""height_cm"":0}"
257,2026-09-15T22:23:28.172349+00:00,Emma,insert,measurements,2026-09-07 / plant 5,"{""lai"":null,""note"":null,""spad"":null,""leaves"":0,""obs_date"":""2026-09-07"",""plant_id"":5,""height_cm"":null,""updated_at"":""2026-09-15T22:23:27.99+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
258,2026-09-15T22:23:29.326473+00:00,Emma,update,measurements,2026-09-07 / plant 5,"{""height_cm"":0}"
259,2026-09-15T22:23:30.822613+00:00,Emma,insert,measurements,2026-09-07 / plant 4,"{""lai"":null,""note"":null,""spad"":null,""leaves"":0,""obs_date"":""2026-09-07"",""plant_id"":4,""height_cm"":null,""updated_at"":""2026-09-15T22:23:30.643+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
260,2026-09-15T22:23:31.87755+00:00,Emma,update,measurements,2026-09-07 / plant 4,"{""height_cm"":0}"
261,2026-09-15T22:23:35.00124+00:00,Emma,insert,measurements,2026-09-07 / plant 7,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":7,""height_cm"":0,""updated_at"":""2026-09-15T22:23:34.822+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
262,2026-09-15T22:23:36.341655+00:00,Emma,update,measurements,2026-09-07 / plant 7,"{""leaves"":0}"
263,2026-09-15T22:23:38.440426+00:00,Emma,insert,measurements,2026-09-07 / plant 8,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":8,""height_cm"":0,""updated_at"":""2026-09-15T22:23:38.265+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
264,2026-09-15T22:23:39.737228+00:00,Emma,update,measurements,2026-09-07 / plant 8,"{""leaves"":0}"
265,2026-09-15T22:23:41.001694+00:00,Emma,insert,measurements,2026-09-07 / plant 9,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-07"",""plant_id"":9,""height_cm"":0,""updated_at"":""2026-09-15T22:23:40.822+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
266,2026-09-15T22:23:41.882511+00:00,Emma,update,measurements,2026-09-07 / plant 9,"{""leaves"":0}"
